Date,Campaign,Impressions,Clicks,Spend,Visits
2024-01-09,Brand Awareness,12158,286,292.81,252
2024-01-09,Retargeting Campaign,6154,272,301.04,250
2024-01-10,Summer Sale 2024,34299,458,340.04,423
2024-01-10,Black Friday,7557,359,703.82,276
2024-01-10,Holiday Special,26357,842,1294.86,726
2024-01-10,New Product Launch,33643,1294,1107.5,1011
2024-01-10,Brand Awareness,8987,221,357.19,194
2024-01-10,Retargeting Campaign,9735,318,203.68,251
2024-01-11,Summer Sale 2024,24830,497,688.25,469
2024-01-11,Black Friday,13754,628,908.53,564
2024-01-11,Holiday Special,37352,1235,1529.89,924
2024-01-11,New Product Launch,45764,1371,1861.83,1223
2024-01-11,Brand Awareness,45447,776,1482.69,728
2024-01-11,Retargeting Campaign,41212,1868,3029.11,1752
2024-01-12,Summer Sale 2024,8420,228,444.6,214
2024-01-12,Black Friday,5190,115,90.43,88
2024-01-12,Holiday Special,24778,415,554.11,387
2024-01-12,New Product Launch,5569,262,158.67,197
2024-01-12,Brand Awareness,9014,447,317.43,370
2024-01-12,Retargeting Campaign,39177,897,1590.39,658
2024-01-13,Summer Sale 2024,17533,427,401.55,385
2024-01-13,Black Friday,43754,885,1254.28,637
2024-01-13,Holiday Special,29376,1031,815.94,739
2024-01-13,New Product Launch,45941,1921,3525.05,1507
2024-01-13,Brand Awareness,18403,610,706.2,529
2024-01-13,Retargeting Campaign,33312,539,1063.32,490
2024-01-14,Summer Sale 2024,36289,407,226.3,368
2024-01-14,Black Friday,34749,1094,1083.03,992
2024-01-14,Holiday Special,8051,391,463.69,356
2024-01-14,New Product Launch,37093,1173,1708.06,1034
2024-01-14,Brand Awareness,33940,1655,2601.48,1175
2024-01-14,Retargeting Campaign,13311,277,320.89,199
2024-01-15,Summer Sale 2024,30316,526,326.81,424
2024-01-15,Black Friday,39699,1046,794.9,773
2024-01-15,Holiday Special,12805,176,136.28,164
2024-01-15,New Product Launch,8343,255,378.85,206
2024-01-15,Brand Awareness,13130,261,269.86,232
2024-01-15,Retargeting Campaign,24128,571,364.13,413
2024-01-16,Summer Sale 2024,35445,1743,1329.9,1227
2024-01-16,Black Friday,40247,1701,1734.1,1388
2024-01-16,Holiday Special,42220,1095,1559.03,940
2024-01-16,New Product Launch,7849,160,83.67,149
2024-01-16,Brand Awareness,14823,656,976.15,485
2024-01-16,Retargeting Campaign,43646,2084,3752.86,1790
2024-01-17,Summer Sale 2024,5851,193,208.88,166
2024-01-17,Black Friday,9000,382,661.23,327
2024-01-17,Holiday Special,37320,1808,3359.31,1354
2024-01-17,New Product Launch,48404,899,958.23,638
2024-01-17,Brand Awareness,39850,934,1385.67,743
2024-01-17,Retargeting Campaign,20305,221,380.5,170
2024-01-18,Summer Sale 2024,8267,311,318.0,290
2024-01-18,Black Friday,12543,494,842.38,380
2024-01-18,Holiday Special,49425,1331,1800.55,1123
2024-01-18,New Product Launch,22506,596,630.58,532
2024-01-18,Brand Awareness,28190,1331,2379.32,1074
2024-01-18,Retargeting Campaign,10644,421,360.95,334
2024-01-19,Summer Sale 2024,49912,1507,2621.71,1175
2024-01-19,Black Friday,5698,79,45.84,74
2024-01-19,Holiday Special,29466,402,393.55,376
2024-01-19,New Product Launch,37307,1228,1777.84,997
2024-01-19,Brand Awareness,42259,978,1475.58,868
2024-01-19,Retargeting Campaign,6167,256,163.02,210
2024-01-20,Summer Sale 2024,16174,806,470.55,712
2024-01-20,Black Friday,13924,334,225.65,245
2024-01-20,Holiday Special,28625,1244,2239.58,1131
2024-01-20,New Product Launch,26677,1014,617.67,918
2024-01-20,Brand Awareness,24065,381,483.87,288
2024-01-20,Retargeting Campaign,33295,831,877.51,750
2024-01-21,Summer Sale 2024,45262,2237,3646.46,1776
2024-01-21,Black Friday,24870,727,775.7,637
2024-01-21,Holiday Special,30289,1400,933.51,1152
2024-01-21,New Product Launch,9748,255,346.09,225
2024-01-21,Brand Awareness,18116,777,1255.88,676
2024-01-21,Retargeting Campaign,19683,954,1013.44,735
2024-01-22,Summer Sale 2024,38591,1201,1386.56,1081
2024-01-22,Black Friday,27700,324,595.1,269
2024-01-22,Holiday Special,16003,207,275.47,195
2024-01-22,New Product Launch,11190,393,606.64,319
2024-01-22,Brand Awareness,47356,1793,1929.81,1585
2024-01-22,Retargeting Campaign,12114,257,494.88,237
2024-01-23,Summer Sale 2024,28959,1007,922.48,752
2024-01-23,Black Friday,41487,1001,1376.86,720
2024-01-23,Holiday Special,9835,486,751.96,405
2024-01-23,New Product Launch,18216,481,675.41,369
2024-01-23,Brand Awareness,32532,1510,2618.05,1415
2024-01-23,Retargeting Campaign,9804,338,381.05,315
2024-01-24,Summer Sale 2024,28793,923,689.71,740
2024-01-24,Black Friday,32712,955,1888.92,758
2024-01-24,Holiday Special,28833,727,1421.19,661
2024-01-24,New Product Launch,25384,729,818.11,560
2024-01-24,Brand Awareness,45943,597,917.93,497
2024-01-24,Retargeting Campaign,14860,741,987.86,661
2024-01-25,Summer Sale 2024,15916,641,683.8,487
2024-01-25,Black Friday,43765,877,799.91,659
2024-01-25,Holiday Special,9544,351,500.94,277
2024-01-25,New Product Launch,12239,133,165.88,108
2024-01-25,Brand Awareness,33538,748,1289.98,704
2024-01-25,Retargeting Campaign,29285,1220,1689.62,1000
2024-01-26,Summer Sale 2024,20254,814,1164.4,713
2024-01-26,Black Friday,20781,720,1418.9,613
2024-01-26,Holiday Special,13017,334,386.17,309
2024-01-26,New Product Launch,22715,724,851.69,671
2024-01-26,Brand Awareness,9637,336,602.63,314
2024-01-26,Retargeting Campaign,44811,1271,2240.95,1134
2024-01-27,Summer Sale 2024,41932,2063,2555.91,1613
2024-01-27,Black Friday,41586,1380,1397.04,1151
2024-01-27,Holiday Special,29214,441,320.98,324
2024-01-27,New Product Launch,29071,500,772.38,401
2024-01-27,Brand Awareness,23271,673,1010.4,500
2024-01-27,Retargeting Campaign,16314,189,142.39,145
2024-01-28,Summer Sale 2024,41668,469,620.52,390
2024-01-28,Black Friday,21907,399,417.52,329
2024-01-28,Holiday Special,21282,246,417.98,210
2024-01-28,New Product Launch,15478,471,346.4,374
2024-01-28,Brand Awareness,9432,198,338.44,175
2024-01-28,Retargeting Campaign,27195,499,526.8,409
2024-01-29,Summer Sale 2024,33699,834,995.63,739
2024-01-29,Black Friday,9621,153,107.05,133
2024-01-29,Holiday Special,22302,679,881.46,493
2024-01-29,New Product Launch,45441,1098,1203.13,797
2024-01-29,Brand Awareness,43518,1091,578.35,851
2024-01-29,Retargeting Campaign,34926,473,616.32,358
2024-01-30,Summer Sale 2024,8596,290,440.41,260
2024-01-30,Black Friday,31734,1058,1698.34,888
2024-01-30,Holiday Special,17199,468,323.56,360
2024-01-30,New Product Launch,24123,864,1171.73,681
2024-01-30,Brand Awareness,22260,516,980.68,362
2024-01-30,Retargeting Campaign,31900,514,446.63,380
